titleId,title,writer,genre,serial_day,url
3084,21세기 무인,"박수영, 스튜디오 질풍, 임준후",액션/무협,월요일,https://webtoon.kakao.com/content/21%EC%84%B8%EA%B8%B0-%EB%AC%B4%EC%9D%B8/3084
3045,망향무사,"범버엄, 후연, 성상현",액션/무협,월요일,https://webtoon.kakao.com/content/%EB%A7%9D%ED%96%A5%EB%AC%B4%EC%82%AC/3045
2967,남자 주인공이 내 앞길을 가로막는다,"SION, 덕복, 주아리",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EB%82%A8%EC%9E%90-%EC%A3%BC%EC%9D%B8%EA%B3%B5%EC%9D%B4-%EB%82%B4-%EC%95%9E%EA%B8%B8%EC%9D%84-%EA%B0%80%EB%A1%9C%EB%A7%89%EB%8A%94%EB%8B%A4/2967
2984,꼬마 영애님은 주연들을 길들인다,"스푼코믹스, 신채온",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EA%BC%AC%EB%A7%88-%EC%98%81%EC%95%A0%EB%8B%98%EC%9D%80-%EC%A3%BC%EC%97%B0%EB%93%A4%EC%9D%84-%EA%B8%B8%EB%93%A4%EC%9D%B8%EB%8B%A4/2984
2528,더 라이브,"앤트스튜디오, 흑아인",액션/무협,월요일,https://webtoon.kakao.com/content/%EB%8D%94-%EB%9D%BC%EC%9D%B4%EB%B8%8C/2528
2524,적기사는 눈먼 돈을 좇지 않는다,"송재민, 로시원",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EC%A0%81%EA%B8%B0%EC%82%AC%EB%8A%94-%EB%88%88%EB%A8%BC-%EB%8F%88%EC%9D%84-%EC%A2%87%EC%A7%80-%EC%95%8A%EB%8A%94%EB%8B%A4/2524
3119,후작님은 그에게만 다정해,"마루코믹스, 이른꽃",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%ED%9B%84%EC%9E%91%EB%8B%98%EC%9D%80-%EA%B7%B8%EC%97%90%EA%B2%8C%EB%A7%8C-%EB%8B%A4%EC%A0%95%ED%95%B4/3119
2916,나태한 소드마스터,"초록차, 마루코믹스",액션/무협,월요일,https://webtoon.kakao.com/content/%EB%82%98%ED%83%9C%ED%95%9C-%EC%86%8C%EB%93%9C%EB%A7%88%EC%8A%A4%ED%84%B0/2916
2630,오늘부터 황녀,"HAMPIG, 니웨",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EC%98%A4%EB%8A%98%EB%B6%80%ED%84%B0-%ED%99%A9%EB%85%80/2630
2622,막장드라마의 제왕,"아이라, 고별",판타지 드라마,월요일,https://webtoon.kakao.com/content/%EB%A7%89%EC%9E%A5%EB%93%9C%EB%9D%BC%EB%A7%88%EC%9D%98-%EC%A0%9C%EC%99%95/2622
2906,데드맨31,"홍정훈, 신월",드라마,월요일,https://webtoon.kakao.com/content/%EB%8D%B0%EB%93%9C%EB%A7%A831/2906
2870,70억분의 1의 이레귤러,"럭키나인, 구자로, 란델",판타지 드라마,월요일,https://webtoon.kakao.com/content/70%EC%96%B5%EB%B6%84%EC%9D%98-1%EC%9D%98-%EC%9D%B4%EB%A0%88%EA%B7%A4%EB%9F%AC/2870
3031,부드러운 폭군,"루시, 스푼코믹스",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EB%B6%80%EB%93%9C%EB%9F%AC%EC%9A%B4-%ED%8F%AD%EA%B5%B0/3031
2381,망할 가문을 살려보겠습니다,"무늬랑, NU",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EB%A7%9D%ED%95%A0-%EA%B0%80%EB%AC%B8%EC%9D%84-%EC%82%B4%EB%A0%A4%EB%B3%B4%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4/2381
2552,황녀님의 인형가게,"POMPOMMELO, 온우연",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%ED%99%A9%EB%85%80%EB%8B%98%EC%9D%98-%EC%9D%B8%ED%98%95%EA%B0%80%EA%B2%8C/2552
2649,우선 남동생부터 숨기자,"자목, 천리, 채지후",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EC%9A%B0%EC%84%A0-%EB%82%A8%EB%8F%99%EC%83%9D%EB%B6%80%ED%84%B0-%EC%88%A8%EA%B8%B0%EC%9E%90/2649
2658,책 먹는 마법사,"크루 이스트우드, 메켄로",액션/무협,월요일,https://webtoon.kakao.com/content/%EC%B1%85-%EB%A8%B9%EB%8A%94-%EB%A7%88%EB%B2%95%EC%82%AC/2658
2862,후궁계약,"밥꾹, 붉은마녀, 레죵",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%ED%9B%84%EA%B6%81%EA%B3%84%EC%95%BD/2862
1392,아도니스,"구당, 결정, 혜돌이",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EC%95%84%EB%8F%84%EB%8B%88%EC%8A%A4/1392
2769,남주를 주웠더니 남편이 생겨버렸다,"마리씨, 서촌, 초암",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EB%82%A8%EC%A3%BC%EB%A5%BC-%EC%A3%BC%EC%9B%A0%EB%8D%94%EB%8B%88-%EB%82%A8%ED%8E%B8%EC%9D%B4-%EC%83%9D%EA%B2%A8%EB%B2%84%EB%A0%B8%EB%8B%A4/2769
2912,유월의 복숭아,"38, 유폴히",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EC%9C%A0%EC%9B%94%EC%9D%98-%EB%B3%B5%EC%88%AD%EC%95%84/2912
3118,왜 하필 시누이죠,"WS, 김우츠, 독연",로맨스 판타지,월요일,https://webtoon.kakao.com/content/%EC%99%9C-%ED%95%98%ED%95%84-%EC%8B%9C%EB%88%84%EC%9D%B4%EC%A3%A0/3118
